"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"x_rep[53]",-0.004025497435625,-0.0317449305,1.03035381875328,0.968434231044,-1.566116555,1.73122479,0.99974107115941,4236.52286529137,3608.78807054226
"x_rep[54]",-0.0144684834021375,-0.0449416855,1.0406505384393,0.9738489093753,-1.6251553,1.72788778,1.00020384319136,3939.65534458527,3927.55145437293
"x_rep[55]",0.0206911342079872,-0.01374216,1.01825413438436,0.954125020926,-1.54421869,1.76481801,0.99983324723538,3916.89971729218,3647.25750913206
"x_rep[56]",0.015220646622912,-0.049279835,1.02916194656203,0.969626493486,-1.51735359,1.803544715,1.00079425818176,3916.93813583521,3521.84968547423
"x_rep[57]",0.0240004495060325,-0.011875695,1.03567182822164,0.946172658459,-1.591212875,1.75214774,1.00083557887836,3858.92272019815,3973.69600431122
"x_rep[58]",0.00882880478223,-0.0722472155,1.03353722979726,0.9345020975367,-1.537493285,1.800855205,1.00093784827644,4020.16237925671,3649.91911180728
"x_rep[59]",-0.0046175193532875,-0.0373132605,1.0105568573347,0.92367418122,-1.578317915,1.68758485,1.00030033438537,3948.60207339786,3376.93512872837
"x_rep[60]",0.0231228717121417,-0.0127087305,1.023581715264,0.9626692158153,-1.53246841,1.78246118,0.999970745068784,3833.02823912041,3909.73823287124
"x_rep[61]",0.0127814263745795,-0.0384002125,1.04233134856348,0.964193476134,-1.574493925,1.82491195,1.00003049211016,4144.86287944234,3621.13839569913
"x_rep[62]",0.004849003522735,-0.0455171045,1.0510233244854,0.9395345534337,-1.574546705,1.82512049,0.999863040976143,3966.42219597229,3893.01723859098
"x_rep[63]",0.0156667202959947,-0.0215949165,1.0310545102201,0.977526527586,-1.591691695,1.80844885,1.00013553858466,4117.5587258671,3773.47230593097
"x_rep[64]",0.0150259033544025,-0.0362343455,1.03021736458347,0.9655907591757,-1.56497205,1.80921074,0.999778134925486,4189.26117178506,3891.15919363551
